ID,countries,Announcement Date,Type of Aid General,Type of Aid Specific,Explanation,Monetary Value as Given by Source,Original Currency,Item,Type of item,Soviet origin (1),No. of Units,No. of Units delivered (in-kind military aid),Unit Price in USD,"Value committed (own estimate, in USD)","Value delivered (own estimate, in USD)",Total ,Converted Value in EUR,Total monetary value delivered in EUR,Official Source,Source of Aid 1,Source of Aid 2,Source of Aid 3,Source of Aid 4,Bilateral loan/grant made through IMF or WB?,Updated/newly added entry,Source for Delivery,,,,,,,,,,,,,,,
AUH1,Australia,1/3/2022,Humanitarian,Assistance,"Australia has committed immediate humanitarian assistance of an initial 35 million AUD to help meeting the urgent needs of the Ukrainian people. This assistance will deliver lifesaving services and supplies, including the provision of shelter, food, medical care and water.","35,000,000",AUD,.,.,.,.,.,.,.,.,"35,000,000","23,241,915",.,Yes,https://pmtranscripts.pmc.gov.au/release/transcript-43831,https://admin.globalcitizen.org/en/content/australia-aid-ukraine/?edit,.,.,0,0,.,,,,,,,,,,,,,,,
AUH2,Australia,20/3/2022,Humanitarian,Equipment,"A shipment of 70,000 tons of thermal coal has been provided.",Not given,AUD,ton of coal,0.0,0,70000,.,350,"24,500,000",.,"24,500,000","16,269,341",.,Yes,https://www.minister.industry.gov.au/ministers/pitt/media-releases/whitehaven-assist-ukraine-request-provide-energy-security ,https://www.kmu.gov.ua/en/news/70-000-tonn-vugillya-nadast-ukrayini-avstraliya-german-galushchenko ,https://www.abc.net.au/news/rural/2022-03-22/cost-sending-70000-tonnes-of-coal-to-ukraine/100929070 ,.,0,0,.,,,,,,,,,,,,,,,
AUH3,Australia,20/3/2022,Humanitarian,Assistance,"The Australian Government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. From the entire package, AUD 10 million are devoted to the World Food Program, which we do not consider. We equally do not consider AUD 8 million to the UN Population fund. Hence, we report the donation value as AUD 12 million. Source of Aid 3 mentions AUD 65 million in humanitarian aid. Since we do not count AUD 18 million in this packet, we arrive at a total of AUD 47 million in humanitarian aid that Australia has provided. ","12,000,000",AUD,.,.,.,.,.,.,.,.,"12,000,000","7,968,657",.,Yes,https://pmtranscripts.pmc.gov.au/release/transcript-43868,https://www.globalcitizen.org/en/content/australia-ukraine-aid-follow-up/,https://www.peterdutton.com.au/joint-media-release-australia-to-provide-additional-support-to-ukraine/ ,.,0,0,.,,,,,,,,,,,,,,,
AUM1,Australia,1/3/2022,Military,Weapons and equipment,"Australia has announced around 70 million AUD in lethal military assistance to support the defence of Ukraine, including missiles and weapons. They also provide a range of non-lethal military equipment and medical supplies in response to a specific request from the Ukrainian Government. No further information about the composition of the equipment was disclosed.","70,000,000",AUD,.,.,.,.,,.,.,.,"70,000,000","46,483,830",.,Yes,https://pmtranscripts.pmc.gov.au/release/transcript-43831,https://www.theguardian.com/australia-news/2022/feb/27/labor-warns-china-it-should-not-take-comfort-from-russian-invasion-of-ukraine,https://pmtranscripts.pmc.gov.au/release/transcript-43868,.,0,0,.,,,,,,,,,,,,,,,
AUM2,Australia,20/3/2022,Military,Weapons and equipment,Additional 21 million AUD support package of defensive military assistance for the Ukrainian Armed Forces. No further information was disclosed.,"21,000,000",AUD,.,.,.,.,.,.,.,.,"21,000,000","13,945,149",.,Yes,https://www.foreignminister.gov.au/minister/marise-payne/media-release/additional-support-ukraine,https://www.globalcitizen.org/en/content/australia-ukraine-aid-follow-up/,https://pmtranscripts.pmc.gov.au/release/transcript-43868 ,.,0,0,.,,,,,,,,,,,,,,,
AUM3,Australia,31/3/2022,Military,Military Equipment,"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.","25,000,000",AUD,tactical decoy,1.0,0,undisclosed,,.,.,.,"25,000,000","16,601,368",.,Yes,https://pmtranscripts.pmc.gov.au/release/transcript-43925,https://www.easternriverinachronicle.com.au/story/7680638/australia-sends-25m-for-ukraine-military/?cs=7,https://www.abc.net.au/news/2022-03-31/more-military-aid-defence-weapons-ukraine-zelenskyy/100955544,.,0,0,.,,,,,,,,,,,,,,,
,,,,,,,,unmanned aerial system,5.0,0,undisclosed,,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,unmanned ground system,3.0,0,undisclosed,,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,field ration,1.0,0,undisclosed,,8,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,medical supplies,0.0,0,undisclosed,,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
