,EU,Country,Financial Aid,Humanitarian Aid,Military Aid,Bilateral Aid (billion EUR),Bilateral Aid (EUR),GDP (USD),GDP (EUR),Bilateral Aid (% of GDP),Share of EU Aid (billion EUR),Share of EPF Aid (billion EUR),Share of EIB Aid (billion EUR),Sum of Aid via all EU vehicles (billion EUR),Sum of Aid via all EU vehicles (% of GDP),Total aid (bilateral + EU) (billion EUR),Total aid (bilateral + EU) (% of GDP),"Arms and Equipment (adjusted, billion EUR)",Financial Aid with Military purpose (billion EUR)
37,0.0,United States,9.948863636,8.883617424,23.78206006,42.61454112,42614541119.0,20953030000000.0,19841884469697.0,0.214771,0.0,0.0,0.0,0.0,0.0,42.6145,0.21477,6.370879992,17.41118007
10,0.0,EU (Commission and Council),10.32,1.42,0.0,11.74,11740000000.0,15291934750000.0,14480998816288.0,0.081072,0.0,0.0,0.0,0.0,0.0,11.74,0.08107,0.0,0.0
36,0.0,United Kingdom,2.076649867,0.372969067,3.767802646,6.21742158,6217421580.0,2759804060000.0,2613450814394.0,0.237901,0.0,0.0,0.0,0.0,0.0,6.2174,0.2379,1.105181634,2.662621012
13,1.0,Germany,1.15,0.75,1.439529057,3.339529057,3339529057.0,3846413930000.0,3642437433712.0,0.091684,2.356163873,0.515504232,0.376057863,3.247725968,0.08916,6.5873,0.18085,0.675129057,0.7644
26,1.0,Poland,0.953421171,0.102840909,1.8,2.85626208,2856262080.0,596624360000.0,564985189394.0,0.505546,0.490789464,0.075456595,0.091487855,0.657733914,0.11642,3.514,0.62196,1.8,0.0
4,0.0,Canada,1.440709272,0.250240118,0.919323623,2.610273013,2610273013.0,1645423410000.0,1558166107955.0,0.167522,0.0,0.0,0.0,0.0,0.0,2.6103,0.16752,0.919323623,0.0
12,1.0,France,1.8,0.119431439,0.19375,2.113181439,2113181439.0,2630317730000.0,2490831183712.0,0.084838,1.988865158,0.347139974,0.376057863,2.712062995,0.10888,4.8252,0.19372,0.19375,0.0
18,0.0,Japan,0.568181818,0.09844697,0.0,0.666628788,666628788.0,5057758960000.0,4789544469697.0,0.013918,0.0,0.0,0.0,0.0,0.0,0.6666,0.01392,0.0,0.0
25,0.0,Norway,0.033980253,0.035436549,0.49368448,0.563101282,563101282.0,362198318435.0,342990831852.0,0.164174,0.0,0.0,0.0,0.0,0.0,0.5631,0.16417,0.454849905,0.038834574
17,1.0,Italy,0.31,0.030707372,0.15,0.490707372,490707372.0,1888709440000.0,1788550606061.0,0.027436,1.433580763,0.250916424,0.376057863,2.060555049,0.11521,2.5513,0.14264,0.15,0.0
7,1.0,Czech Republic,0.0,0.104365105,0.25621643,0.360581536,360581536.0,245339320000.0,232328901515.0,0.155203,0.172302716,0.030802945,0.017763022,0.220868683,0.09507,0.5815,0.25027,0.25621643,0.0
33,1.0,Sweden,0.091348485,0.084840029,0.18246415,0.358652664,358652664.0,541220060000.0,512518996212.0,0.069978,0.391889401,0.072999248,0.069153323,0.534041972,0.1042,0.8927,0.17418,0.075188646,0.107275504
8,1.0,Denmark,0.02,0.03736961,0.268846112,0.326215722,326215722.0,356084870000.0,337201581439.0,0.096742,0.29805188,0.047926743,0.05278002,0.398758643,0.11826,0.725,0.215,0.268846112,0.0
27,1.0,Portugal,0.25,0.0012,0.008728598,0.259928598,259928598.0,228539000000.0,216419507576.0,0.120104,0.169935159,0.029291694,0.018221655,0.217448509,0.10048,0.4774,0.22058,0.008728598,0.0
9,1.0,Estonia,0.0,0.004849999,0.245,0.249849999,249849999.0,30650290000.0,29024895833.0,0.860813,0.02336493,0.00402803,0.001660046,0.029053006,0.1001,0.2789,0.96091,0.245,0.0
14,1.0,Greece,0.0,0.0,0.247340074,0.247340074,247340074.0,188835200000.0,178821212121.0,0.138317,0.168684216,0.025059045,0.02827504,0.222018302,0.12416,0.4694,0.26247,0.247340074,0.0
19,1.0,Latvia,0.015,0.001367417,0.2188,0.235167417,235167417.0,33707320000.0,31919810606.0,0.736744,0.02393583,0.00443604,0.002149636,0.030521505,0.09562,0.2657,0.83236,0.2188,0.0
0,0.0,Australia,0.0,0.047479912,0.185337672,0.232817584,232817584.0,1327836171069.0,1257420616542.0,0.018515,0.0,0.0,0.0,0.0,0.0,0.2328,0.01852,0.185337672,0.0
2,1.0,Belgium,0.0,0.1164,0.076,0.1924,192400000.0,521861290000.0,494186827652.0,0.038933,0.409788802,0.068974724,0.104240624,0.58300415,0.11797,0.7754,0.15691,0.076,0.0
23,1.0,Netherlands,0.08,0.026948864,0.084090909,0.191039773,191039773.0,913865400000.0,865402840909.0,0.022075,0.926898444,0.116194392,0.104240624,1.14733346,0.13258,1.3384,0.15465,0.084090909,0.0
30,1.0,Slovakia,0.0,0.005,0.163651894,0.168651894,168651894.0,105172560000.0,99595227273.0,0.169337,0.10901675,0.013472732,0.006046531,0.128536014,0.12906,0.2972,0.2984,0.163651894,0.0
11,1.0,Finland,0.075,0.005470938,0.0293,0.109770938,109770938.0,269594830000.0,255298134470.0,0.042997,0.199831859,0.035922305,0.029729782,0.265483947,0.10399,0.3753,0.14699,0.0293,0.0
20,1.0,Lithuania,0.005,0.042,0.0545,0.1015,101500000.0,56546960000.0,53548257576.0,0.189549,0.038325873,0.007152905,0.003522411,0.04900119,0.09151,0.1505,0.28106,0.0545,0.0
32,1.0,Spain,0.0,0.043885913,0.037245335,0.081131248,81131248.0,1281484640000.0,1213527121212.0,0.006686,1.393466628,0.16902817,0.225634721,1.788129519,0.14735,1.8693,0.15404,0.037245335,0.0
16,1.0,Ireland,0.0,0.067688318,0.0,0.067688318,67688318.0,425889000000.0,403303977273.0,0.016783,0.236713691,0.042758459,0.013194994,0.292667144,0.07257,0.3604,0.08935,0.0,0.0
34,0.0,Switzerland,0.0,0.058622374,0.0,0.058622374,58622374.0,752248045730.0,712356103911.0,0.008229,0.0,0.0,0.0,0.0,0.0,0.0586,0.00823,0.0,0.0
1,1.0,Austria,0.01,0.045133902,0.003386041,0.058519942,58519942.0,433258470000.0,410282642045.0,0.014263,0.34400095,0.056244338,0.051745533,0.451990821,0.11017,0.5105,0.12443,0.003386041,0.0
21,1.0,Luxembourg,0.0,0.004,0.05,0.054,54000000.0,73353130000.0,69463191288.0,0.077739,0.03757027,0.006670082,0.002639019,0.046879371,0.06749,0.1009,0.14523,0.05,0.0
15,1.0,Hungary,0.0,0.045396535,0.0,0.045396535,45396535.0,155808440000.0,147545871212.0,0.030768,0.138905055,0.020209083,0.01680463,0.175918767,0.11923,0.2213,0.15,0.0,0.0
28,0.0,South Korea,0.0,0.039015152,0.003390152,0.042405303,42405303.0,1637895802793.0,1551037692039.0,0.002734,0.0,0.0,0.0,0.0,0.0,0.0424,0.00273,0.003390152,0.0
5,1.0,Croatia,0.0,0.006443777,0.01647731,0.022921087,22921087.0,57203780000.0,54170246212.0,0.042313,0.049181373,0.007670084,0.008550315,0.065401772,0.12073,0.0883,0.16305,0.01647731,0.0
24,0.0,New Zealand,0.0,0.00240197,0.013818429,0.016220399,16220399.0,210700848974.0,199527319104.0,0.008129,0.0,0.0,0.0,0.0,0.0,0.0162,0.00813,0.003610059,0.010208371
39,0.0,Taiwan,0.0,0.011837121,0.0,0.011837121,11837121.0,612168000000.0,579704545455.0,0.002042,0.0,0.0,0.0,0.0,0.0,0.0118,0.00204,0.0,0.0
29,1.0,Romania,0.0,0.006639337,0.003,0.009639337,9639337.0,248715550000.0,235526089015.0,0.004093,0.194634988,0.031658833,0.013194994,0.239488816,0.10168,0.2491,0.10578,0.003,0.0
