EU,Country,Financial Aid,Humanitarian Aid,Military Aid,Bilateral Aid (billion EUR),Bilateral Aid (EUR),GDP (USD),GDP (EUR),Bilateral Aid (% of GDP),Share of EU Aid (billion EUR),Share of EPF Aid (billion EUR),Share of EIB Aid (billion EUR),Sum of Aid via all EU vehicles (billion EUR),Sum of Aid via all EU vehicles (% of GDP),Total aid (bilateral + EU) (billion EUR),Total aid (bilateral + EU) (% of GDP),"Arms and Equipment (adjusted, billion EUR)",Financial Aid with Military purpose (billion EUR),,,,,,,,,,,,,,,,
0,Australia,0,0.047479912,0.185337672,0.232817584,"232,817,584  ","1,327,836,171,069  ","1,257,420,616,542  ",0.018515,0,0,0,0,0.00000,0.2328,0.01852,0.185337672,0,,,,,,,,,,,,,,,,
1,Austria,0.01,0.045133902,0.003386041,0.058519942,"58,519,942  ","433,258,470,000  ","410,282,642,045  ",0.014263,0.34400095,0.056244338,0.051745533,0.451990821,0.11017,0.5105,0.12443,0.003386041,0,,,,,,,,,,,,,,,,
1,Belgium,0,0.1164,0.076,0.1924,"192,400,000  ","521,861,290,000  ","494,186,827,652  ",0.038933,0.409788802,0.068974724,0.104240624,0.58300415,0.11797,0.7754,0.15691,0.076,0,,,,,,,,,,,,,,,,
1,Bulgaria,0,0.000706,0.003598485,0.004304485,"4,304,485  ","69,889,347,433  ","66,183,094,160  ",0.006504,0.073662916,0.008712514,0.004105207,0.086480637,0.13067,0.0908,0.13717,0.003598485,0,,,,,,,,,,,,,,,,
0,Canada,1.440709272,0.250240118,0.919323623,2.610273013,"2,610,273,013  ","1,645,423,410,000  ","1,558,166,107,955  ",0.167522,0,0,0,0,0.00000,2.6103,0.16752,0.919323623,0,,,,,,,,,,,,,,,,
1,Croatia,0,0.006443777,0.01647731,0.022921087,"22,921,087  ","57,203,780,000  ","54,170,246,212  ",0.042313,0.049181373,0.007670084,0.008550315,0.065401772,0.12073,0.0883,0.16305,0.01647731,0,,,,,,,,,,,,,,,,
1,Cyprus,0,0.002393939,0,0.002393939,"2,393,939  ","24,612,650,000  ","23,307,433,712  ",0.010271,0.018411531,0.003083633,0.002587746,0.02408291,0.10333,0.0265,0.11360,0,0,,,,,,,,,,,,,,,,
1,Czech Republic,0,0.104365105,0.25621643,0.360581536,"360,581,536  ","245,339,320,000  ","232,328,901,515  ",0.155203,0.172302716,0.030802945,0.017763022,0.220868683,0.09507,0.5815,0.25027,0.25621643,0,,,,,,,,,,,,,,,,
1,Denmark,0.02,0.03736961,0.268846112,0.326215722,"326,215,722  ","356,084,870,000  ","337,201,581,439  ",0.096742,0.29805188,0.047926743,0.05278002,0.398758643,0.11826,0.7250,0.21500,0.268846112,0,,,,,,,,,,,,,,,,
1,Estonia,0,0.004849999,0.245,0.249849999,"249,849,999  ","30,650,290,000  ","29,024,895,833  ",0.860813,0.02336493,0.00402803,0.001660046,0.029053006,0.10010,0.2789,0.96091,0.245,0,,,,,,,,,,,,,,,,
0,EU (Commission and Council),10.32,1.42,0,11.74,"11,740,000,000  ","15,291,934,750,000  ","14,480,998,816,288  ",0.081072,0,0,0,0,0.00000,11.7400,0.08107,0,0,,,,,,,,,,,,,,,,
1,Finland,0.075,0.005470938,0.0293,0.109770938,"109,770,938  ","269,594,830,000  ","255,298,134,470  ",0.042997,0.199831859,0.035922305,0.029729782,0.265483947,0.10399,0.3753,0.14699,0.0293,0,,,,,,,,,,,,,,,,
