,Country,Latitude,Longitude,Date,Refugees from Ukraine,datetime
0,Poland,52.215933,19.134422,2022-03-01,547982,2022-03-01
1,Hungary,47.1817585,19.5060937,2022-03-01,133009,2022-03-01
2,Republic of Moldova,47.2879608,28.5670941,2022-03-01,97827,2022-03-01
3,Slovakia,48.7411522,19.4528646,2022-03-01,72200,2022-03-01
4,Romania,45.9852129,24.6859225,2022-03-01,51261,2022-03-01
5,Russian Federation,64.6863136,97.7453061,2022-03-01,47800,2022-03-01
6,Belarus,53.4250605,27.6971358,2022-03-01,357,2022-03-01
7,Ukraine,49.4871968,31.2718321,2022-03-01,0,2022-03-01
8,Poland,52.215933,19.134422,2022-03-02,547982,2022-03-02
9,Hungary,47.1817585,19.5060937,2022-03-02,133009,2022-03-02
10,Republic of Moldova,47.2879608,28.5670941,2022-03-02,97827,2022-03-02
11,Slovakia,48.7411522,19.4528646,2022-03-02,72200,2022-03-02
12,Romania,45.9852129,24.6859225,2022-03-02,51261,2022-03-02
13,Russian Federation,64.6863136,97.7453061,2022-03-02,47800,2022-03-02
14,Belarus,53.4250605,27.6971358,2022-03-02,357,2022-03-02
15,Ukraine,49.4871968,31.2718321,2022-03-02,0,2022-03-02
16,Poland,52.215933,19.134422,2022-03-03,649903,2022-03-03
17,Hungary,47.1817585,19.5060937,2022-03-03,144738,2022-03-03
18,Republic of Moldova,47.2879608,28.5670941,2022-03-03,103254,2022-03-03
19,Slovakia,48.7411522,19.4528646,2022-03-03,90329,2022-03-03
20,Romania,45.9852129,24.6859225,2022-03-03,57192,2022-03-03
21,Russian Federation,64.6863136,97.7453061,2022-03-03,53300,2022-03-03
22,Belarus,53.4250605,27.6971358,2022-03-03,384,2022-03-03
23,Ukraine,49.4871968,31.2718321,2022-03-03,0,2022-03-03
24,Poland,52.215933,19.134422,2022-03-04,756303,2022-03-04
25,Hungary,47.1817585,19.5060937,2022-03-04,157004,2022-03-04
26,Republic of Moldova,47.2879608,28.5670941,2022-03-04,84067,2022-03-04
27,Slovakia,48.7411522,19.4528646,2022-03-04,101529,2022-03-04
28,Romania,45.9852129,24.6859225,2022-03-04,63192,2022-03-04
29,Russian Federation,64.6863136,97.7453061,2022-03-04,99300,2022-03-04
30,Belarus,53.4250605,27.6971358,2022-03-04,406,2022-03-04
31,Ukraine,49.4871968,31.2718321,2022-03-04,0,2022-03-04
32,Poland,52.215933,19.134422,2022-03-05,885303,2022-03-05
33,Hungary,47.1817585,19.5060937,2022-03-05,169053,2022-03-05
